"In this paper we propose a unified framework for structured prediction with latent variables which includes hidden conditional random fields and latent structured support vector machines as special cases. We describe a local entropy approximation for this general formulation using duality, and derive an efficient message passing algorithm that is guaranteed to converge. We demonstrate its effectiveness in the tasks of image segmentation as well as 3D indoor scene understanding from single images, showing that our approach is superior to latent structured support vector machines and hidden conditional random fields.",0
"A unified framework for structured prediction with latent variables is put forward in this study, encompassing hidden conditional random fields and latent structured support vector machines as specific instances. By utilizing duality, we expound on a local entropy approximation for this comprehensive formulation, and establish a proficient message passing algorithm that ensures convergence. Our methodology proves to be more effective than latent structured support vector machines and hidden conditional random fields in image segmentation and 3D indoor scene comprehension from single images.",1
"Fuzzy systems concern fundamental methodology to represent and process uncertainty and imprecision in the linguistic information. The fuzzy systems that use fuzzy rules to represent the domain knowledge of the problem are known as Fuzzy Rule Base Systems (FRBS). On the other hand image segmentation and subsequent extraction from a noise-affected background, with the help of various soft computing methods, are relatively new and quite popular due to various reasons. These methods include various Artificial Neural Network (ANN) models (primarily supervised in nature), Genetic Algorithm (GA) based techniques, intensity histogram based methods etc. providing an extraction solution working in unsupervised mode happens to be even more interesting problem. Literature suggests that effort in this respect appears to be quite rudimentary. In the present article, we propose a fuzzy rule guided novel technique that is functional devoid of any external intervention during execution. Experimental results suggest that this approach is an efficient one in comparison to different other techniques extensively addressed in literature. In order to justify the supremacy of performance of our proposed technique in respect of its competitors, we take recourse to effective metrics like Mean Squared Error (MSE), Mean Absolute Error (MAE), Peak Signal to Noise Ratio (PSNR).",0
"The concept of fuzzy systems involves the fundamental methodology of processing and representing uncertainty and imprecision in linguistic information. Fuzzy Rule Base Systems (FRBS) refer to fuzzy systems that utilize fuzzy rules to represent domain knowledge in problem-solving. In contrast, the use of soft computing techniques such as Artificial Neural Network (ANN) models (primarily supervised), Genetic Algorithm (GA) based techniques, and intensity histogram-based methods to extract images from a noise-affected background is a relatively new and popular approach. However, providing an extraction solution working in an unsupervised mode remains an interesting problem, with literature suggesting that efforts in this area are still at a rudimentary stage. In this article, we propose a novel technique that utilizes fuzzy rules to guide image segmentation without requiring external intervention during execution. Our experimental results demonstrate that this approach is more efficient than other extensively addressed techniques in the literature. To further demonstrate the superiority of our proposed technique, we use metrics such as Mean Squared Error (MSE), Mean Absolute Error (MAE), and Peak Signal to Noise Ratio (PSNR).",1
"We describe a nonparametric topic model for labeled data. The model uses a mixture of random measures (MRM) as a base distribution of the Dirichlet process (DP) of the HDP framework, so we call it the DP-MRM. To model labeled data, we define a DP distributed random measure for each label, and the resulting model generates an unbounded number of topics for each label. We apply DP-MRM on single-labeled and multi-labeled corpora of documents and compare the performance on label prediction with MedLDA, LDA-SVM, and Labeled-LDA. We further enhance the model by incorporating ddCRP and modeling multi-labeled images for image segmentation and object labeling, comparing the performance with nCuts and rddCRP.",0
"Our nonparametric topic model for labeled data utilizes a mixture of random measures (MRM) as the base distribution of the Dirichlet process (DP) within the HDP framework, known as the DP-MRM. To account for labeled data, we create a DP distributed random measure for each label, resulting in an unlimited number of topics for each label. We test the DP-MRM on both single-labeled and multi-labeled document corpora, comparing its label prediction performance to MedLDA, LDA-SVM, and Labeled-LDA. Additionally, we improve upon the model by incorporating ddCRP and applying it to multi-labeled images for object labeling and image segmentation, comparing its performance to nCuts and rddCRP.",1
"In the recent advancement of multimedia technologies, it becomes a major concern of detecting visual attention regions in the field of image processing. The popularity of the terminal devices in a heterogeneous environment of the multimedia technology gives us enough scope for the betterment of image visualization. Although there exist numerous methods, feature based image extraction becomes a popular one in the field of image processing. The objective of image segmentation is the domain-independent partition of the image into a set of regions, which are visually distinct and uniform with respect to some property, such as grey level, texture or colour. Segmentation and subsequent extraction can be considered the first step and key issue in object recognition, scene understanding and image analysis. Its application area encompasses mobile devices, industrial quality control, medical appliances, robot navigation, geophysical exploration, military applications, etc. In all these areas, the quality of the final results depends largely on the quality of the preprocessing work. Most of the times, acquiring spurious-free preprocessing data requires a lot of application cum mathematical intensive background works. We propose a feature based fuzzy rule guided novel technique that is functionally devoid of any external intervention during execution. Experimental results suggest that this approach is an efficient one in comparison to different other techniques extensively addressed in literature. In order to justify the supremacy of performance of our proposed technique in respect of its competitors, we take recourse to effective metrics like Mean Squared Error (MSE), Mean Absolute Error (MAE) and Peak Signal to Noise Ratio (PSNR).",0
"The detection of visual attention regions in image processing has become a major concern due to advancements in multimedia technologies. The use of terminal devices in a heterogeneous environment provides ample opportunity for improved image visualization. Feature-based image extraction has become a popular method for image processing, although there are numerous other approaches. Image segmentation aims to divide an image into visually distinct and uniform regions based on properties such as grey level, texture, or color. Segmentation and extraction are essential for object recognition, scene understanding, and image analysis. These techniques have applications in various fields, including mobile devices, medical appliances, industrial quality control, military applications, and geophysical exploration. High-quality preprocessing is crucial for obtaining accurate results, and this often requires extensive mathematical work. We propose a feature-based fuzzy rule-guided technique that does not require external intervention during execution. Experimental results show that our approach outperforms other extensively addressed techniques in the literature, as measured by metrics such as Mean Squared Error, Mean Absolute Error, and Peak Signal to Noise Ratio.",1
"Hierarchical image segmentation provides region-oriented scalespace, i.e., a set of image segmentations at different detail levels in which the segmentations at finer levels are nested with respect to those at coarser levels. Most image segmentation algorithms, such as region merging algorithms, rely on a criterion for merging that does not lead to a hierarchy, and for which the tuning of the parameters can be difficult. In this work, we propose a hierarchical graph based image segmentation relying on a criterion popularized by Felzenzwalb and Huttenlocher. We illustrate with both real and synthetic images, showing efficiency, ease of use, and robustness of our method.",0
"The method of hierarchical image segmentation creates a region-focused scalespace that consists of various image segmentations with different levels of detail. The finer segmentations are nested within the coarser ones. However, most image segmentation algorithms, such as those using region merging techniques, do not produce a hierarchy, making it challenging to fine-tune the parameters. To address this, we introduce a hierarchical graph-based image segmentation approach that employs Felzenzwalb and Huttenlocher's popularized criterion. Our method is demonstrated using both real and synthetic images, highlighting its effectiveness, user-friendliness, and robustness.",1
"This paper proposes a Genetic Algorithm based segmentation method that can automatically segment gray-scale images. The proposed method mainly consists of spatial unsupervised grayscale image segmentation that divides an image into regions. The aim of this algorithm is to produce precise segmentation of images using intensity information along with neighborhood relationships. In this paper, Fuzzy Hopfield Neural Network (FHNN) clustering helps in generating the population of Genetic algorithm which there by automatically segments the image. This technique is a powerful method for image segmentation and works for both single and multiple-feature data with spatial information. Validity index has been utilized for introducing a robust technique for finding the optimum number of components in an image. Experimental results shown that the algorithm generates good quality segmented image.",0
"A Genetic Algorithm-based method for automatically segmenting gray-scale images is proposed in this paper. The method primarily involves spatial unsupervised grayscale image segmentation that divides an image into regions. The objective of this algorithm is to achieve accurate segmentation of images by utilizing intensity information and neighborhood relationships. The Fuzzy Hopfield Neural Network (FHNN) clustering is incorporated in this paper to generate the population of Genetic algorithm, which automatically segments the image. This technique is a potent approach for image segmentation and is effective for both single and multiple-feature data with spatial information. To determine the optimal number of components in an image, a validity index is utilized, which introduces a robust technique. The experimental results demonstrate that the algorithm produces high-quality segmented images.",1
"Sampling from distributions of implicitly defined shapes enables analysis of various energy functionals used for image segmentation. Recent work describes a computationally efficient Metropolis-Hastings method for accomplishing this task. Here, we extend that framework so that samples are accepted at every iteration of the sampler, achieving an order of magnitude speed up in convergence. Additionally, we show how to incorporate topological constraints.",0
"The analysis of energy functionals utilized in image segmentation can be conducted by sampling from distributions with implicitly defined shapes. A Metropolis-Hastings method that is computationally efficient has been described in recent studies for this purpose. Our enhancement of this framework allows for the acceptance of samples at each iteration of the sampler, resulting in a tenfold acceleration in convergence. Furthermore, we demonstrate how to include topological constraints.",1
"This paper introduces a Bayesian image segmentation algorithm based on finite mixtures. An EM algorithm is developed to estimate parameters of the Gaussian mixtures. The finite mixture is a flexible and powerful probabilistic modeling tool. It can be used to provide a model-based clustering in the field of pattern recognition. However, the application of finite mixtures to image segmentation presents some difficulties; especially it's sensible to noise. In this paper we propose a variant of this method which aims to resolve this problem. Our approach proceeds by the characterization of pixels by two features: the first one describes the intrinsic properties of the pixel and the second characterizes the neighborhood of pixel. Then the classification is made on the base on adaptive distance which privileges the one or the other features according to the spatial position of the pixel in the image. The obtained results have shown a significant improvement of our approach compared to the standard version of EM algorithm.",0
"In this paper, a Bayesian image segmentation algorithm that is based on finite mixtures is introduced. The algorithm employs an EM algorithm to estimate parameters of the Gaussian mixtures. Finite mixture is a powerful and flexible probabilistic modeling tool that can be utilized for model-based clustering in pattern recognition. However, applying finite mixtures to image segmentation can be challenging, particularly in the presence of noise. To address this issue, this paper proposes a modified approach that characterizes pixels using two features: the intrinsic properties of the pixel and its neighborhood. Classification is then performed based on an adaptive distance approach, which favors one or the other feature depending on the pixel's spatial position in the image. The results indicate a significant improvement compared to the standard EM algorithm.",1
"Color image segmentation is an important topic in the image processing field. MRF-MAP is often adopted in the unsupervised segmentation methods, but their performance are far behind recent interactive segmentation tools supervised by user inputs. Furthermore, the existing related unsupervised methods also suffer from the low efficiency, and high risk of being trapped in the local optima, because MRF-MAP is currently solved by iterative frameworks with inaccurate initial color distribution models. To address these problems, the letter designs an efficient method to calculate the energy functions approximately in the non-iteration style, and proposes a new binary segmentation algorithm based on the slightly tuned Lanczos eigensolver. The experiments demonstrate that the new algorithm achieves competitive performance compared with two state-of-art segmentation methods.",0
"The image processing field considers color image segmentation an important topic. Unsupervised segmentation methods often utilize MRF-MAP, but their performance lags behind recent interactive segmentation tools that require user inputs. Additionally, existing unsupervised methods suffer from low efficiency and high risk of being trapped in local optima due to the inaccurate initial color distribution models used in iterative frameworks to solve MRF-MAP. To tackle these issues, a more efficient non-iterative approach to calculate energy functions is proposed, along with a binary segmentation algorithm based on the slightly tuned Lanczos eigensolver. Experimental results demonstrate that the new algorithm achieves competitive performance compared to two state-of-the-art segmentation methods.",1
