"Graph neural networks (GNNs) have been widely used to learn vector representation of graph-structured data and achieved better task performance than conventional methods. The foundation of GNNs is the message passing procedure, which propagates the information in a node to its neighbors. Since this procedure proceeds one step per layer, the range of the information propagation among nodes is small in the lower layers, and it expands toward the higher layers. Therefore, a GNN model has to be deep enough to capture global structural information in a graph. On the other hand, it is known that deep GNN models suffer from performance degradation because they lose nodes' local information, which would be essential for good model performance, through many message passing steps. In this study, we propose multi-level attention pooling (MLAP) for graph-level classification tasks, which can adapt to both local and global structural information in a graph. It has an attention pooling layer for each message passing step and computes the final graph representation by unifying the layer-wise graph representations. The MLAP architecture allows models to utilize the structural information of graphs with multiple levels of localities because it preserves layer-wise information before losing them due to oversmoothing. Results of our experiments show that the MLAP architecture improves the graph classification performance compared to the baseline architectures. In addition, analyses on the layer-wise graph representations suggest that aggregating information from multiple levels of localities indeed has the potential to improve the discriminability of learned graph representations.",0
"This paper proposes a novel method for graph neural networks (GNN) that utilizes multi-level attention pooling to capture multiple localities within each node in a graph. The proposed approach unifies different graph representations by considering each layer as a separate attention head and combining them using attention mechanisms. We demonstrate the effectiveness of our method through experiments on several benchmark datasets, showing improved performance over state-of-the-art methods in both transductive and inductive settings. Our findings suggest that multi-level attention pooling provides a powerful tool for capturing complex relationships across nodes and improving GNN predictions.",1
"Deep networks and decision forests (such as random forests and gradient boosted trees) are the leading machine learning methods for structured and tabular data, respectively. Many papers have empirically compared large numbers of classifiers on one or two different domains (e.g., on 100 different tabular data settings). However, a careful conceptual and empirical comparison of these two strategies using the most contemporary best practices has yet to be performed. Conceptually, we illustrate that both can be profitably viewed as ""partition and vote"" schemes. Specifically, the representation space that they both learn is a partitioning of feature space into a union of convex polytopes. For inference, each decides on the basis of votes from the activated nodes. This formulation allows for a unified basic understanding of the relationship between these methods. Empirically, we compare these two strategies on hundreds of tabular data settings, as well as several vision and auditory settings. Our focus is on datasets with at most 10,000 samples, which represent a large fraction of scientific and biomedical datasets. In general, we found forests to excel at tabular and structured data (vision and audition) with small sample sizes, whereas deep nets performed better on structured data with larger sample sizes. This suggests that further gains in both scenarios may be realized via further combining aspects of forests and networks. We will continue revising this technical report in the coming months with updated results.",0
"Artificial intelligence (AI) has become increasingly important over recent years due to advances in machine learning techniques such as decision forest models and deep neural networks. These methods have proven to be highly accurate in many fields, but their performance can vary greatly depending on the dataset size. In particular, decision forest models tend to perform well even with small sample sizes, while deep neural networks often require large amounts of data. The authors investigate the conceptual similarities and empirical differences between these two types of models using experimental results from simulations and real datasets. They find that both models have advantages and disadvantages, with decision forests tending to perform better on smaller datasets and deep neural networks performing better on larger ones. Their results provide insight into which model may be more suitable for different applications and shed light on how the choice of model affects accuracy.",1
"Graph convolutional networks (GCNs) are powerful tools for graph-structured data. However, they have been recently shown to be vulnerable to topological attacks. To enhance adversarial robustness, we go beyond spectral graph theory to robust graph theory. By challenging the classical graph Laplacian, we propose a new convolution operator that is provably robust in the spectral domain and is incorporated in the GCN architecture to improve expressivity and interpretability. By extending the original graph to a sequence of graphs, we also propose a robust training paradigm that encourages transferability across graphs that span a range of spatial and spectral characteristics. The proposed approaches are demonstrated in extensive experiments to simultaneously improve performance in both benign and adversarial situations.",0
"Graphs play an essential role in encoding many real-world data types such as social networks (Facebook friendships), knowledge graphs (WordNet synonym relations), biochemical interaction maps (protein– protein interactions) and others. In recent years, deep learning has become increasingly popular for mining graph structured data, thanks largely to the success of Graph Neural Networks (GNN). Since 2017, GNNs have achieved state-of-the-art performance on numerous benchmark datasets across different domains including social network analysis and link prediction, biosequence classification, drug activity prediction and more. While these models have shown powerful representation capabilities on complex node relationships within graphs, they are still susceptible to noise and outliers that can disrupt their accuracy. This study proposes a novel model architecture called Graph Powering Networks (GPNeT) which incorporates explicit control over local receptive fields by applying power operations. We show through rigorous experiments on several publicly available benchmarks, including synthetic and semi-synthetic benchmark datasets from the DeepGraphBenchmark suite and a challenging multi-graph biological dataset, that our proposed method significantly improves predictive accuracy under conditions where traditional GCNs struggle with robustness due to noisy inputs and irregular connectivity patterns. We demonstrate both qualitatively and quantitatively that GPNeT exhibits better noise tolerance, improved generalization ability over competitive baselines and most importantly maintains high levels of effectiveness throughout various regimes of hyperparameter tuning settings. Our approach enables deeper insight into handling various architectures designed for graphs while providing a clear pathway towards developing new methods fusing power operations into existing ar",1
"With the increasing popularity of Graph Neural Networks (GNNs) in several sensitive applications like healthcare and medicine, concerns have been raised over the privacy aspects of trained GNNs. More notably, GNNs are vulnerable to privacy attacks, such as membership inference attacks, even if only blackbox access to the trained model is granted. To build defenses, differential privacy has emerged as a mechanism to disguise the sensitive data in training datasets. Following the strategy of Private Aggregation of Teacher Ensembles (PATE), recent methods leverage a large ensemble of teacher models. These teachers are trained on disjoint subsets of private data and are employed to transfer knowledge to a student model, which is then released with privacy guarantees. However, splitting graph data into many disjoint training sets may destroy the structural information and adversely affect accuracy. We propose a new graph-specific scheme of releasing a student GNN, which avoids splitting private training data altogether. The student GNN is trained using public data, partly labeled privately using the teacher GNN models trained exclusively for each query node. We theoretically analyze our approach in the R\`{e}nyi differential privacy framework and provide privacy guarantees. Besides, we show the solid experimental performance of our method compared to several baselines, including the PATE baseline adapted for graph-structured data. Our anonymized code is available.",0
"Title: Enabling Private Deep Learning on Graph Data  Deep learning has revolutionized many fields and empowered applications ranging from image recognition to natural language processing. However, deep learning models often require large amounts of sensitive data, such as medical records, social network interactions, or financial transactions, which raises privacy concerns. In particular, graph data, widely used across disciplines like computer vision, natural language understanding, bioinformatics, and recommender systems, must be protected while enabling efficient training and inference. Our work introduces novel methods that guarantee differential privacy, ensuring strong protection against reidentification attacks. We propose two algorithms using graph neural networks (GNNs) trained under different levels of constraints. First, we introduce RGDN, a randomized GNN architecture equipped with local sensitivity analysis, making it feasible for real-world deployments. Next, we develop the Sensitive Degrees of Freedom algorithm incorporating knowledge distillation techniques to reduce model complexity without sacrificing accuracy. Experimental results show the efficiency and effectiveness of our approaches compared to state-of-the art private GNN techniques, demonstrating their applicability to diverse domains including drug discovery, personalized medicine, marketing predictions, and fraud detection. These groundbreaking advancements provide a key step towards democratizing machine learning by addressing critical challenges surrounding transparency, security, and accountability in artificial intelligence.",1
"Machine learning solutions for pattern classification problems are nowadays widely deployed in society and industry. However, the lack of transparency and accountability of most accurate models often hinders their safe use. Thus, there is a clear need for developing explainable artificial intelligence mechanisms. There exist model-agnostic methods that summarize feature contributions, but their interpretability is limited to predictions made by black-box models. An open challenge is to develop models that have intrinsic interpretability and produce their own explanations, even for classes of models that are traditionally considered black boxes like (recurrent) neural networks. In this paper, we propose a Long-Term Cognitive Network for interpretable pattern classification of structured data. Our method brings its own mechanism for providing explanations by quantifying the relevance of each feature in the decision process. For supporting the interpretability without affecting the performance, the model incorporates more flexibility through a quasi-nonlinear reasoning rule that allows controlling nonlinearity. Besides, we propose a recurrence-aware decision model that evades the issues posed by unique fixed points while introducing a deterministic learning method to compute the tunable parameters. The simulations show that our interpretable model obtains competitive results when compared to the state-of-the-art white and black-box models.",0
"This paper presents a novel approach to explainable pattern classification using recurrent neural networks (RNNs) that are specifically designed to incorporate time dependencies into their internal representations. We propose a new architecture called a ""long-term cognitive network"" (LTCN), which uses a combination of RNN cells and convolutional layers to model sequences of data while taking advantage of the strong expressive power of these two types of layers. LTCNs are trained on sequential tasks that require maintaining a memory state over long periods of time, allowing them to learn temporal patterns that would be difficult or impossible for traditional feedforward models to capture.  The key innovation of our method lies in its ability to explicitly represent recurrences within deep architectures without resorting to specialized techniques such as cycle consistency loss or attention mechanisms. By doing so, we achieve more efficient training and better generalization performance compared to prior methods based on attentional or generative models.  Our experiments demonstrate that LTCNs significantly outperform several baseline models on four challenging datasets: MIMIC III, HAR, PAMAP2, and Physionet/CinC Challenge. Moreover, we show that LTCNs provide interpretable explanations of their decision making process by visualizing the evolution of activation patterns throughout each layer over time. Our analysis reveals interesting insights into how different parts of the network contribute to making predictions at various stages during sequence processing.  Overall, this work represents a step forward towards developing recurrence-aware neural networks capable of solving real-world problems in areas such as healthcare informatics where understanding the underlying patterns and dynamics is crucial for improving patient outcomes.",1
